repo,language,fileCount,rawTokens,finalTokens,reductionPct,coverageGrade,coveragePct,healthScore,healthGrade,hitAt5,mrr,tasks
cirq-quantum,Python,1080,2826351,162824,94.2,B,85.02092050209204,100,A,,,0
clap,Rust,330,331838,6745,98,D,44.38502673796791,100,A,,,0
cli,Go,67,245364,10920,95.5,A,91.17647058823529,100,A,,,0
click,Python,64,217095,13046,94,A,93.54838709677419,100,A,,,0
clickhouse,Unknown,6850,19497860,166316,99.1,D,12.335036185610898,100,A,,,0
clojure-core,Java,189,651775,9944,98.5,A,94.25287356321839,100,A,,,0
cloud-init,Unknown,2,222,198,10.8,A,,100,A,,,0
cmake,Unknown,3435,6229290,162583,97.4,D,34.55644290956184,100,A,,,0
cobra,Go,36,160308,6368,96,A,97.22222222222221,100,A,,,0
cockroachdb,Go,9961,31325968,167967,99.5,D,16.133985987138878,100,A,,,0
coinbase-sdk,Python,8,14556,1023,93,C,55.55555555555556,100,A,,,0
commons-lang,Java,624,1081177,17158,98.4,C,57.414448669201526,100,A,,,0
compose-multiplatform,Kotlin,1025,781035,46520,94,C,66.74445740956826,100,A,,,0
composer,PHP,619,658404,20427,96.9,A,89.96763754045307,100,A,,,0
composer-php,PHP,297,730780,21309,97.1,A,89.6774193548387,100,A,,,0
consul,Go,3772,6812084,156201,97.7,D,37.75269541778975,100,A,,,0
containerd,Go,1324,2186259,143451,93.4,A,90.4934687953556,100,A,,,0
cosmos-sdk,Go,2490,10775378,164240,98.5,D,48.47040127135479,100,A,,,0
crystal-lang,JavaScript,746,1767713,57100,96.8,D,40.909090909090914,100,A,,,0
curl,Unknown,80,2920927,126135,95.7,B,84.90566037735849,100,A,,,0
curl-http,Unknown,382,1657748,54039,96.7,C,68.72509960159363,100,A,,,0
cypress,TypeScript,1963,1828983,114526,93.7,C,50.12894906511928,100,A,,,0
cython,Python,214,1428721,24865,98.3,B,82.1256038647343,100,A,,,0
dagger,Java,1956,1826421,92528,94.9,B,80.0321199143469,100,A,,,0
dart-sdk,Dart,25806,52237331,160152,99.7,D,5.594047712778521,100,A,,,0
dask,Python,185,827019,27130,96.7,B,83.78378378378379,100,A,,,0
datadog-agent,Go,16254,27503946,141788,99.5,D,4.52149048342418,100,A,,,0
date-fns,TypeScript,1647,2044030,37756,98.2,D,31.453096259963214,100,A,,,0
definitelytyped,TypeScript,33774,13339411,171813,98.7,D,5.520504731861198,100,A,,,0
